종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
00680K,미래에셋증권2우B,KOSPI,증권,"3,780",15,0.40,"529,200,000,000"
006805,미래에셋증권우,KOSPI,증권,"4,230",15,0.36,"59,540,422,500"
002840,미원상사,KOSPI,화학,"176,500",500,0.28,"877,205,000,000"
268280,미원에스씨,KOSPI,화학,"194,000","1,000",0.52,"989,400,000,000"
107590,미원홀딩스,KOSPI,기타금융,"132,000","1,000",0.76,"306,240,000,000"
134380,미원화학,KOSPI,화학,"66,400",500,0.76,"146,031,395,200"
003650,미창석유,KOSPI,화학,"79,000",0,0.00,"137,434,088,000"
155900,바다로19호,KOSPI,서비스업,"3,335",0,0.00,"50,692,013,340"
003610,방림,KOSPI,섬유의복,"2,900",75,2.65,"122,710,861,000"
001340,백광산업,KOSPI,화학,"4,170",0,0.00,"187,309,757,190"
035150,백산,KOSPI,화학,"9,160",30,0.33,"222,633,800,000"
002410,범양건영,KOSPI,건설업,"4,385",25,0.57,"108,888,241,070"
096300,베트남개발1,KOSPI,기타금융,204,-1,-0.49,"28,086,763,044"
007210,벽산,KOSPI,비금속광물,"2,560",0,0.00,"175,513,600,000"
002760,보락,KOSPI,화학,"1,660",10,0.61,"99,434,000,000"
003850,보령,KOSPI,의약품,"10,400",-100,-0.95,"714,376,000,000"
000890,보해양조,KOSPI,음식료품,711,2,0.28,"98,914,411,719"
003000,부광약품,KOSPI,의약품,"8,590",-190,-2.16,"610,431,590,910"
001270,부국증권,KOSPI,증권,"21,050",-250,-1.17,"218,286,100,300"
001275,부국증권우,KOSPI,증권,"20,050",-50,-0.25,"60,150,000,000"
026940,부국철강,KOSPI,철강금속,"3,510",15,0.43,"70,200,000,000"
011390,부산산업,KOSPI,비금속광물,"84,300","1,900",2.31,"89,020,800,000"
005030,부산주공,KOSPI,운수장비,808,-16,-1.94,"53,306,672,032"
002070,비비안,KOSPI,섬유의복,"1,660",0,0.00,"49,458,023,400"
100220,비상교육,KOSPI,서비스업,"6,060",20,0.33,"78,760,250,460"
030790,비케이탑스,KOSPI,서비스업,904,0,0.00,"19,208,323,080"
005180,빙그레,KOSPI,음식료품,"45,400",50,0.11,"447,246,341,400"
003960,사조대림,KOSPI,음식료품,"23,500",100,0.43,"215,364,974,500"
008040,사조동아원,KOSPI,음식료품,"1,480",-10,-0.67,"208,894,008,000"
007160,사조산업,KOSPI,"농업, 임업 및 어업","44,700",-450,-1.00,"223,500,000,000"
014710,사조씨푸드,KOSPI,음식료품,"4,975",15,0.30,"85,662,251,425"
006090,사조오양,KOSPI,음식료품,"8,880",-20,-0.22,"83,673,922,320"
001470,삼부토건,KOSPI,건설업,"2,050",-95,-4.43,"384,730,418,750"
006400,삼성SDI,KOSPI,전기전자,"528,000",0,0.00,"36,307,671,840,000"
006405,삼성SDI우,KOSPI,전기전자,"271,000","1,500",0.56,"438,449,816,000"
006660,삼성공조,KOSPI,운수장비,"10,500",0,0.00,"85,326,297,000"
028260,삼성물산,KOSPI,유통업,"113,500","-1,000",-0.87,"21,211,683,693,500"
02826K,삼성물산우B,KOSPI,유통업,"103,500",0,0.00,"168,438,487,500"
207940,삼성바이오로직스,KOSPI,의약품,"832,000","-2,000",-0.24,"59,216,768,000,000"
032830,삼성생명,KOSPI,보험,"58,700",-500,-0.84,"11,740,000,000,000"
018260,삼성에스디에스,KOSPI,서비스업,"133,000","4,000",3.10,"10,291,247,400,000"
028050,삼성엔지니어링,KOSPI,서비스업,"19,300",-700,-3.50,"3,782,800,000,000"
009150,삼성전기,KOSPI,전기전자,"133,000","1,000",0.76,"9,934,261,568,000"
009155,삼성전기우,KOSPI,전기전자,"73,300",200,0.27,"213,081,927,200"
005930,삼성전자,KOSPI,전기전자,"58,000",-100,-0.17,"346,247,387,900,000"
005935,삼성전자우,KOSPI,전기전자,"52,600",-300,-0.57,"43,283,840,420,000"
001360,삼성제약,KOSPI,의약품,"3,410",-20,-0.58,"229,022,689,390"
010140,삼성중공업,KOSPI,운수장비,"5,370",30,0.56,"4,725,600,000,000"
010145,삼성중공우,KOSPI,운수장비,"226,000","-1,500",-0.66,"25,954,970,000"
016360,삼성증권,KOSPI,증권,"31,650",0,0.00,"2,826,345,000,000"
068290,삼성출판사,KOSPI,서비스업,"25,600",450,1.79,"256,000,000,000"
029780,삼성카드,KOSPI,기타금융,"30,150",-300,-0.99,"3,493,145,563,650"
000810,삼성화재,KOSPI,보험,"198,500","-3,000",-1.49,"9,403,905,144,500"
000815,삼성화재우,KOSPI,보험,"156,500",-500,-0.32,"499,548,000,000"
006110,삼아알미늄,KOSPI,철강금속,"16,650",50,0.30,"183,150,000,000"
145990,삼양사,KOSPI,음식료품,"40,100",150,0.38,"413,569,304,900"
145995,삼양사우,KOSPI,음식료품,"33,150",-700,-2.07,"12,267,820,500"
003230,삼양식품,KOSPI,음식료품,"105,500","3,500",3.43,"794,733,082,500"
002170,삼양통상,KOSPI,기타제조업,"52,700",400,0.76,"158,100,000,000"
272550,삼양패키징,KOSPI,화학,"17,850",650,3.78,"281,827,777,350"
000070,삼양홀딩스,KOSPI,기타금융,"73,600","2,100",2.94,"630,330,345,600"
000075,삼양홀딩스우,KOSPI,기타금융,"59,900",-100,-0.17,"18,213,074,200"
002810,삼영무역,KOSPI,유통업,"13,450",0,0.00,"248,380,450,600"
005680,삼영전자,KOSPI,전기전자,"10,200",150,1.49,"204,000,000,000"
003720,삼영화학,KOSPI,화학,"2,485",20,0.81,"84,490,000,000"
023000,삼원강재,KOSPI,운수장비,"2,585",-15,-0.58,"103,400,000,000"
