종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
353490,미래에셋대우스팩 5호,KOSDAQ,금융,"2,135",-10,-0.47,"10,803,100,000"
328380,미래에셋대우스팩3호,KOSDAQ,금융,"2,330",-45,-1.89,"15,103,060,000"
100790,미래에셋벤처투자,KOSDAQ,금융,"5,500",100,1.85,"266,641,985,500"
412930,미래에셋비전스팩1호,KOSDAQ,금융,"2,155",20,0.94,"13,309,280,000"
049950,미래컴퍼니,KOSDAQ,기계·장비,"19,650",950,5.08,"168,731,013,000"
207760,미스터블루,KOSDAQ,디지털컨텐츠,"5,460",200,3.80,"135,198,527,100"
059090,미코,KOSDAQ,반도체,"7,940",20,0.25,"265,329,217,320"
214610,미코바이오메드,KOSDAQ,의료·정밀기기,"12,100",150,1.26,"221,390,880,700"
201490,미투온,KOSDAQ,디지털컨텐츠,"4,405",65,1.50,"137,690,476,850"
950190,미투젠,KOSDAQ,출판·매체복제,"16,300",100,0.62,"221,352,239,600"
214180,민앤지,KOSDAQ,소프트웨어,"14,850",250,1.71,"196,869,197,250"
206640,바디텍메드,KOSDAQ,제약,"14,200",-100,-0.70,"333,509,152,000"
018700,바른손,KOSDAQ,유통,"2,735",95,3.60,"96,052,535,395"
035620,바른손이앤에이,KOSDAQ,오락·문화,"1,075",40,3.86,"80,022,650,625"
064520,바른전자,KOSDAQ,반도체,"9,450",0,0.00,"79,083,714,150"
053030,바이넥스,KOSDAQ,제약,"15,500",400,2.65,"492,296,244,000"
301300,바이브컴퍼니,KOSDAQ,소프트웨어,"29,650",650,2.24,"165,452,337,000"
064550,바이오니아,KOSDAQ,제약,"38,900","2,050",5.56,"1,004,020,319,900"
314930,바이오다인,KOSDAQ,의료·정밀기기,"28,550",-250,-0.87,"176,101,967,250"
208710,바이오로그디바이스,KOSDAQ,IT부품,"1,500",-55,-3.54,"62,147,118,000"
086820,바이오솔루션,KOSDAQ,제약,"14,850",200,1.37,"120,929,876,100"
038460,바이오스마트,KOSDAQ,정보기기,"4,500",-15,-0.33,"90,395,100,000"
251120,바이오에프디엔씨,KOSDAQ,제약,"22,300",200,0.90,"193,914,110,000"
086040,바이오톡스텍,KOSDAQ,기타서비스,"8,600",200,2.38,"126,137,257,800"
099430,바이오플러스,KOSDAQ,제약,"30,600",950,3.20,"443,171,109,600"
032980,바이온,KOSDAQ,유통,"1,260",5,0.40,"43,210,162,800"
222160,바이옵트로,KOSDAQ,기계·장비,"6,220",-10,-0.16,"50,654,846,520"
308080,바이젠셀,KOSDAQ,제약,"9,170",-160,-1.71,"174,285,570,200"
043150,바텍,KOSDAQ,의료·정밀기기,"29,450",350,1.20,"437,457,839,200"
323990,박셀바이오,KOSDAQ,기타서비스,"41,450",500,1.22,"630,993,350,000"
267790,배럴,KOSDAQ,섬유·의류,"7,310",-200,-2.66,"57,643,005,000"
046310,백금T&A,KOSDAQ,통신장비,"2,620",-10,-0.38,"43,016,839,420"
